,name,start,end,college,lon,lat,loc,info,loc_type,desc
656,白春礼,1996,2004,,116.4,39.9,北京市北京市北京市,中国科学院,0,"1996.03—2004.12,中国科学院副院长,党组成员（1995.06—2003.12兼第三、四届欧美同学会副会长,1995.07—2000.07 兼全国青联副主席,1996.05—2006.10兼中国青年科技工作者协会会长,第25、26届中国化学会理事长,1997年当选为中国科学院院士、第三世界科学院院士,1999国务院学位委员会委员,2001.01兼中国科学院研究生院院长,1997.03—1997.05在中央党校进修一班学习,2001.06和2006.05分别当选第六届、第七届中国科学技术协会副主席,2002.03—2002.05中央党校进修一班学习）；"
657,白春礼,2004,2011,,116.4,39.9,北京市北京市北京市,中国科学院,0,"2004.12—2011.02,中国科学院常务副院长、党组副书记（正部长级）,第五届化学学部主任（2005亚太材料学会副主席,2006美国科学院外籍院士,2007英国皇家化学会荣誉会士）；"
658,白春礼,2011,2013,,116.4,39.9,北京市北京市北京市,中国科学院,0,"2011.02—2013.01,中国科学院院长、党组书记,学部主席团执行主席（2011.05被授予中国科协荣誉委员,2012.03被推选为丹麦皇家文理科学院外籍院士,2012兼中国科学院大学校长。2012.09当选新一届发展中国家科学院院长）；[3—4]"
659,白春礼,2013,2018,,116.4,39.9,北京市北京市北京市,中国科学院,0,"2013.01—,中国科学院院长,党组书记,学部主席团执行主席,发展中国家科学院院长"
660,吉炳轩　,1975,1978,郑州大学,116.4,39.9,北京市北京市北京市,中文系,0,"1975—1978,　郑州大学中文系学习"
661,吉炳轩　,1978,1982,,112.43,34.83,河南省洛阳市孟津县,孟津县,3,"1978—1982,　河南省孟津县平乐高中教师、县委办公室干事"
662,吉炳轩　,1982,1984,,116.43,39.92,北京市北京市朝阳区,朝阳,3,"1982—1984,　河南省孟津县朝阳乡党委书记"
663,吉炳轩　,1984,1985,,112.78,34.73,河南省洛阳市偃师市,偃师,3,"1984—1985,　河南省偃师县委副书记、县长"
664,吉炳轩　,1985,1987,,112.78,34.73,河南省洛阳市偃师市,偃师,3,"1985—1987,　河南省偃师县委书记"
665,吉炳轩　,1987,1987,,113.62,34.75,河南省郑州市郑州市,河南省委,1,"1987—1987,　共青团河南省委副书记"
666,吉炳轩　,1987,1990,,113.62,34.75,河南省郑州市郑州市,河南省委,1,"1987—1990,　共青团河南省委书记"
667,吉炳轩　,1990,1991,,113.62,34.75,河南省郑州市郑州市,河南省委,1,"1990—1991,　河南省委副秘书长、政策研究室主任"
668,吉炳轩　,1991,1993,,113.9,35.3,河南省新乡市新乡市,新乡,3,"1991—1993,　河南省新乡市委书记"
669,吉炳轩　,1993,1995,,116.4,39.9,北京市北京市北京市,共青团中央书记处,0,"1993—1995,　共青团中央书记处书记"
670,吉炳轩　,1995,1998,,126.55,43.83,吉林省吉林市吉林市,吉林,3,"1995—1998,　吉林省委常委、宣传部部长,省委党校副校长"
671,吉炳轩　,1998,2001,,116.4,39.9,北京市北京市北京市,国家广播,1,"1998—2001,　国家广播电影电视总局副局长、党组副书记"
672,吉炳轩　,2001,2003,,116.4,39.9,北京市北京市北京市,中央宣传部,0,"2001—2003,　中央宣传部副部长"
673,吉炳轩　,2003,2008,,116.4,39.9,北京市北京市北京市,中央宣传部,0,"2003—2008,　中央宣传部主持常务工作的副部长（正部长级）,中央精神文明建设指导委员会办公室主任（2005.11）"
674,吉炳轩　,2008,2013,,126.53,45.8,黑龙江省哈尔滨市哈尔滨市,人大常委会,1,"2008—2013,　黑龙江省委书记、省人大常委会主任"
675,吉炳轩　,2013,2018,,126.53,45.8,黑龙江省哈尔滨市哈尔滨市,人大常委会,1,"2013—,　十二届全国人大常委会副委员长,黑龙江省委书记(—2013,3)、省人大常委会主任（—2013,3）"
676,毕井泉,1972,1976,,127.52,46.88,黑龙江省绥化市庆安县,庆安县,3,"1972.01—1976.01, 黑龙江省庆安县民乐乡农村劳动"
677,毕井泉,1976,1978,,127.52,46.88,黑龙江省绥化市庆安县,庆安县,3,"1976.01—1978.02, 黑龙江省庆安县民乐乡政府经营管理站电管站工作"
678,毕井泉,1978,1982,北京大学,116.4,39.9,北京市北京市北京市,北京大学,1,"1978.03—1982.02, 北京大学经济学系学习,获经济学学士学位"
679,毕井泉,1982,1984,,116.4,39.9,北京市北京市北京市,国家,1,"1982.02—1984.09, 国家物价局农产品价格司工作"
680,毕井泉,1984,1987,,116.4,39.9,北京市北京市北京市,国家,1,"1984.09—1987.08, 国家物价局农产品价格司综合处副处长"
681,毕井泉,1987,1989,,116.4,39.9,北京市北京市北京市,国家,1,"1987.08—1989.03, 国家物价局农产品价格司综合处处长"
682,毕井泉,1989,1994,,116.4,39.9,北京市北京市北京市,综合司,0,"1989.03—1994.03, 国家物价局价格规划司副司长,综合司副司长"
683,毕井泉,1994,1995,,116.4,39.9,北京市北京市北京市,国家计划委员会,0,"1994.03—1995.11, 国家计划委员会价格管理司副司长"
684,毕井泉,1995,1996,,116.4,39.9,北京市北京市北京市,国家计划委员会,0,"1995.11—1996.10, 国家计划委员会收费管理司副司长（主持工作）"
685,毕井泉,1996,1998,,116.4,39.9,北京市北京市北京市,国家计划委员会,0,"1996.10—1998.06, 国家计划委员会工农产品价格管理司司长"
686,毕井泉,1998,2001,,116.4,39.9,北京市北京市北京市,国家发展计划委员会,0,"1998.06—2001.07, 国家发展计划委员会价格司司长（期间：2000.03—2001.01中央党校一年制中青年干部培训班学习）"
